12 months ending,Police force area,Region,Offence,Rolling year total number of offences
30/06/2008,Cleveland,North East,Domestic burglary,3390
30/06/2008,Cleveland,North East,Drug offences,2348
30/06/2008,Cleveland,North East,Fraud offences,498
30/06/2008,Cleveland,North East,Homicide,8
30/06/2008,Cleveland,North East,Miscellaneous crimes against society,730
30/06/2008,Cleveland,North East,Non-domestic burglary,3516
30/06/2008,Cleveland,North East,Possession of weapons offences,467
30/06/2008,Cleveland,North East,Public order offences,3181
30/06/2008,Cleveland,North East,Robbery,450
30/06/2008,Cleveland,North East,Sexual offences,552
30/06/2008,Cleveland,North East,Shoplifting,5414
30/06/2008,Cleveland,North East,Stalking and harassment,289
30/06/2008,Cleveland,North East,Theft from the person,921
30/06/2008,Cleveland,North East,Vehicle offences,6503
30/06/2008,Cleveland,North East,Violence with injury,5430
30/06/2008,Cleveland,North East,Violence without injury,3877
30/06/2008,Cumbria,North West,All other theft offences,4269
30/06/2008,Cumbria,North West,Bicycle theft,819
30/06/2008,Cumbria,North West,Criminal damage and arson,10640
30/06/2008,Cumbria,North West,Death or serious injury caused by illegal driving,3
30/06/2008,Cumbria,North West,Domestic burglary,783
30/06/2008,Cumbria,North West,Drug offences,1665
30/06/2008,Cumbria,North West,Fraud offences,418
30/06/2008,Cumbria,North West,Homicide,5
30/06/2008,Cumbria,North West,Miscellaneous crimes against society,488
30/06/2008,Cumbria,North West,Non-domestic burglary,1761
30/06/2008,Cumbria,North West,Possession of weapons offences,271
30/06/2008,Cumbria,North West,Public order offences,2040
30/06/2008,Cumbria,North West,Robbery,46
30/06/2008,Cumbria,North West,Sexual offences,336
30/06/2008,Cumbria,North West,Shoplifting,2228
30/06/2008,Cumbria,North West,Stalking and harassment,150
30/06/2008,Cumbria,North West,Theft from the person,144
30/06/2008,Cumbria,North West,Vehicle offences,2466
30/06/2008,Cumbria,North West,Violence with injury,3748
30/06/2008,Cumbria,North West,Violence without injury,2079
30/06/2008,Derbyshire,East Midlands,All other theft offences,11753
30/06/2008,Derbyshire,East Midlands,Bicycle theft,1096
30/06/2008,Derbyshire,East Midlands,Criminal damage and arson,17395
30/06/2008,Derbyshire,East Midlands,Death or serious injury caused by illegal driving,7
30/06/2008,Derbyshire,East Midlands,Domestic burglary,3721
30/06/2008,Derbyshire,East Midlands,Drug offences,1991
30/06/2008,Derbyshire,East Midlands,Fraud offences,1178
30/06/2008,Derbyshire,East Midlands,Homicide,9
30/06/2008,Derbyshire,East Midlands,Miscellaneous crimes against society,1017
30/06/2008,Derbyshire,East Midlands,Non-domestic burglary,5563
30/06/2008,Derbyshire,East Midlands,Possession of weapons offences,509
30/06/2008,Derbyshire,East Midlands,Public order offences,2418
30/06/2008,Derbyshire,East Midlands,Robbery,807
30/06/2008,Derbyshire,East Midlands,Sexual offences,1003
30/06/2008,Derbyshire,East Midlands,Shoplifting,3803
30/06/2008,Derbyshire,East Midlands,Stalking and harassment,915
30/06/2008,Derbyshire,East Midlands,Theft from the person,1435
30/06/2008,Derbyshire,East Midlands,Vehicle offences,9167
30/06/2008,Derbyshire,East Midlands,Violence with injury,10449
30/06/2008,Derbyshire,East Midlands,Violence without injury,2583
30/06/2008,Devon and Cornwall,South West,All other theft offences,14762
30/06/2008,Devon and Cornwall,South West,Bicycle theft,1705
30/06/2008,Devon and Cornwall,South West,Criminal damage and arson,27869
30/06/2008,Devon and Cornwall,South West,Death or serious injury caused by illegal driving,15
30/06/2008,Devon and Cornwall,South West,Domestic burglary,4244
30/06/2008,Devon and Cornwall,South West,Drug offences,4229
30/06/2008,Devon and Cornwall,South West,Fraud offences,1489
30/06/2008,Devon and Cornwall,South West,Homicide,20
30/06/2008,Devon and Cornwall,South West,Miscellaneous crimes against society,1117
30/06/2008,Devon and Cornwall,South West,Non-domestic burglary,7001
30/06/2008,Devon and Cornwall,South West,Possession of weapons offences,710
30/06/2008,Devon and Cornwall,South West,Public order offences,4808
30/06/2008,Devon and Cornwall,South West,Robbery,521
30/06/2008,Devon and Cornwall,South West,Sexual offences,1438
30/06/2008,Devon and Cornwall,South West,Shoplifting,7070
30/06/2008,Devon and Cornwall,South West,Stalking and harassment,820
30/06/2008,Devon and Cornwall,South West,Theft from the person,1479
30/06/2008,Devon and Cornwall,South West,Vehicle offences,11607
30/06/2008,Devon and Cornwall,South West,Violence with injury,11716
30/06/2008,Devon and Cornwall,South West,Violence without injury,5599
30/06/2008,Dorset,South West,All other theft offences,8170
30/06/2008,Dorset,South West,Bicycle theft,1678
30/06/2008,Dorset,South West,Criminal damage and arson,11807
30/06/2008,Dorset,South West,Death or serious injury caused by illegal driving,5
30/06/2008,Dorset,South West,Domestic burglary,1644
30/06/2008,Dorset,South West,Drug offences,1659
30/06/2008,Dorset,South West,Fraud offences,428
30/06/2008,Dorset,South West,Homicide,9
30/06/2008,Dorset,South West,Miscellaneous crimes against society,539
30/06/2008,Dorset,South West,Non-domestic burglary,3295
30/06/2008,Dorset,South West,Possession of weapons offences,342
30/06/2008,Dorset,South West,Public order offences,2251
30/06/2008,Dorset,South West,Robbery,251
30/06/2008,Dorset,South West,Sexual offences,770
30/06/2008,Dorset,South West,Shoplifting,3218
30/06/2008,Dorset,South West,Stalking and harassment,733
30/06/2008,Dorset,South West,Theft from the person,990
30/06/2008,Dorset,South West,Vehicle offences,5009
30/06/2008,Dorset,South West,Violence with injury,4817
30/06/2008,Dorset,South West,Violence without injury,3287
30/06/2008,Durham,North East,All other theft offences,6121
30/06/2008,Durham,North East,Bicycle theft,682
30/06/2008,Durham,North East,Criminal damage and arson,14143
30/06/2008,Durham,North East,Death or serious injury caused by illegal driving,1
30/06/2008,Durham,North East,Domestic burglary,2356
30/06/2008,Durham,North East,Drug offences,1218
30/06/2008,Durham,North East,Fraud offences,394
30/06/2008,Durham,North East,Homicide,9
30/06/2008,Durham,North East,Miscellaneous crimes against society,610
30/06/2008,Durham,North East,Non-domestic burglary,3450
30/06/2008,Durham,North East,Possession of weapons offences,458
30/06/2008,Durham,North East,Public order offences,2145
30/06/2008,Durham,North East,Robbery,183
30/06/2008,Durham,North East,Sexual offences,504
30/06/2008,Durham,North East,Shoplifting,2588
30/06/2008,Durham,North East,Stalking and harassment,289
30/06/2008,Durham,North East,Theft from the person,336
30/06/2008,Durham,North East,Vehicle offences,4996
30/06/2008,Durham,North East,Violence with injury,4406
30/06/2008,Durham,North East,Violence without injury,1514
30/06/2008,Dyfed-Powys,Wales,All other theft offences,2933
30/06/2008,Dyfed-Powys,Wales,Bicycle theft,269
30/06/2008,Dyfed-Powys,Wales,Criminal damage and arson,6185
30/06/2008,Dyfed-Powys,Wales,Death or serious injury caused by illegal driving,5
30/06/2008,Dyfed-Powys,Wales,Domestic burglary,715
30/06/2008,Dyfed-Powys,Wales,Drug offences,2184
30/06/2008,Dyfed-Powys,Wales,Fraud offences,610
30/06/2008,Dyfed-Powys,Wales,Homicide,6
30/06/2008,Dyfed-Powys,Wales,Miscellaneous crimes against society,308
30/06/2008,Dyfed-Powys,Wales,Non-domestic burglary,1371
30/06/2008,Dyfed-Powys,Wales,Possession of weapons offences,189
30/06/2008,Dyfed-Powys,Wales,Public order offences,1561
30/06/2008,Dyfed-Powys,Wales,Robbery,41
30/06/2008,Dyfed-Powys,Wales,Sexual offences,306
30/06/2008,Dyfed-Powys,Wales,Shoplifting,1456
30/06/2008,Dyfed-Powys,Wales,Stalking and harassment,90
30/06/2008,Dyfed-Powys,Wales,Theft from the person,83
30/06/2008,Dyfed-Powys,Wales,Vehicle offences,2013
30/06/2008,Dyfed-Powys,Wales,Violence with injury,2759
30/06/2008,Dyfed-Powys,Wales,Violence without injury,1438
30/06/2008,Essex,East,All other theft offences,15424
30/06/2008,Essex,East,Bicycle theft,2495
30/06/2008,Essex,East,Criminal damage and arson,25466
30/06/2008,Essex,East,Death or serious injury caused by illegal driving,9
30/06/2008,Essex,East,Domestic burglary,6272
30/06/2008,Essex,East,Drug offences,4191
30/06/2008,Essex,East,Fraud offences,1619
30/06/2008,Essex,East,Homicide,13
30/06/2008,Essex,East,Miscellaneous crimes against society,1339
30/06/2008,Essex,East,Non-domestic burglary,7652
30/06/2008,Essex,East,Possession of weapons offences,1243
30/06/2008,Essex,East,Public order offences,4997
30/06/2008,Essex,East,Robbery,1295
30/06/2008,Essex,East,Sexual offences,1144
30/06/2008,Essex,East,Shoplifting,9038
30/06/2008,Essex,East,Stalking and harassment,1254
30/06/2008,Essex,East,Theft from the person,939
30/06/2008,Essex,East,Vehicle offences,15939
30/06/2008,Essex,East,Violence with injury,10379
30/06/2008,Essex,East,Violence without injury,5619
30/06/2008,Gloucestershire,South West,All other theft offences,6017
30/06/2008,Gloucestershire,South West,Bicycle theft,1296
30/06/2008,Gloucestershire,South West,Criminal damage and arson,9744
30/06/2008,Gloucestershire,South West,Death or serious injury caused by illegal driving,4
30/06/2008,Gloucestershire,South West,Domestic burglary,2181
30/06/2008,Gloucestershire,South West,Drug offences,1706
30/06/2008,Gloucestershire,South West,Fraud offences,532
30/06/2008,Gloucestershire,South West,Homicide,5
30/06/2008,Gloucestershire,South West,Miscellaneous crimes against society,540
30/06/2008,Gloucestershire,South West,Non-domestic burglary,3237
30/06/2008,Gloucestershire,South West,Possession of weapons offences,282
30/06/2008,Gloucestershire,South West,Public order offences,2227
30/06/2008,Gloucestershire,South West,Robbery,281
30/06/2008,Gloucestershire,South West,Sexual offences,573
30/06/2008,Gloucestershire,South West,Shoplifting,3161
30/06/2008,Gloucestershire,South West,Stalking and harassment,355
30/06/2008,Gloucestershire,South West,Theft from the person,671
30/06/2008,Gloucestershire,South West,Vehicle offences,5457
30/06/2008,Gloucestershire,South West,Violence with injury,3551
30/06/2008,Gloucestershire,South West,Violence without injury,3044
30/06/2008,Greater Manchester,North West,All other theft offences,38398
30/06/2008,Greater Manchester,North West,Bicycle theft,4615
30/06/2008,Greater Manchester,North West,Criminal damage and arson,63171
30/06/2008,Greater Manchester,North West,Death or serious injury caused by illegal driving,15
30/06/2008,Greater Manchester,North West,Domestic burglary,21856
30/06/2008,Greater Manchester,North West,Drug offences,12129
30/06/2008,Greater Manchester,North West,Fraud offences,3644
30/06/2008,Greater Manchester,North West,Homicide,48
30/06/2008,Greater Manchester,North West,Miscellaneous crimes against society,3329
30/06/2008,Greater Manchester,North West,Non-domestic burglary,18369
30/06/2008,Greater Manchester,North West,Possession of weapons offences,2065
30/06/2008,Greater Manchester,North West,Public order offences,15297
30/06/2008,Greater Manchester,North West,Robbery,7115
30/06/2008,Greater Manchester,North West,Sexual offences,3001
30/06/2008,Greater Manchester,North West,Shoplifting,15926
30/06/2008,Greater Manchester,North West,Stalking and harassment,1390
30/06/2008,Greater Manchester,North West,Theft from the person,4511
30/06/2008,Greater Manchester,North West,Vehicle offences,45884
30/06/2008,Greater Manchester,North West,Violence with injury,23391
30/06/2008,Greater Manchester,North West,Violence without injury,10515
30/06/2008,Gwent,Wales,All other theft offences,5363
30/06/2008,Gwent,Wales,Bicycle theft,513
30/06/2008,Gwent,Wales,Criminal damage and arson,12108
30/06/2008,Gwent,Wales,Death or serious injury caused by illegal driving,1
30/06/2008,Gwent,Wales,Domestic burglary,2389
30/06/2008,Gwent,Wales,Drug offences,2133
30/06/2008,Gwent,Wales,Fraud offences,429
30/06/2008,Gwent,Wales,Homicide,17
30/06/2008,Gwent,Wales,Miscellaneous crimes against society,439
30/06/2008,Gwent,Wales,Non-domestic burglary,3032
30/06/2008,Gwent,Wales,Possession of weapons offences,345
30/06/2008,Gwent,Wales,Public order offences,2717
30/06/2008,Gwent,Wales,Robbery,251
30/06/2008,Gwent,Wales,Sexual offences,623
30/06/2008,Gwent,Wales,Shoplifting,2775
30/06/2008,Gwent,Wales,Stalking and harassment,303
30/06/2008,Gwent,Wales,Theft from the person,554
30/06/2008,Gwent,Wales,Vehicle offences,6974
30/06/2008,Gwent,Wales,Violence with injury,5844
30/06/2008,Gwent,Wales,Violence without injury,945
30/06/2008,Hampshire,South East,All other theft offences,20367
30/06/2008,Hampshire,South East,Bicycle theft,4817
30/06/2008,Hampshire,South East,Criminal damage and arson,37735
30/06/2008,Hampshire,South East,Death or serious injury caused by illegal driving,17
30/06/2008,Hampshire,South East,Domestic burglary,5256
30/06/2008,Hampshire,South East,Drug offences,5900
30/06/2008,Hampshire,South East,Fraud offences,2208
30/06/2008,Hampshire,South East,Homicide,14
30/06/2008,Hampshire,South East,Miscellaneous crimes against society,2087
30/06/2008,Hampshire,South East,Non-domestic burglary,9158
30/06/2008,Hampshire,South East,Possession of weapons offences,1051
30/06/2008,Hampshire,South East,Public order offences,9508
30/06/2008,Hampshire,South East,Robbery,1042
30/06/2008,Hampshire,South East,Sexual offences,2299
30/06/2008,Hampshire,South East,Shoplifting,12691
30/06/2008,Hampshire,South East,Stalking and harassment,1598
30/06/2008,Hampshire,South East,Theft from the person,2070
30/06/2008,Hampshire,South East,Vehicle offences,17490
30/06/2008,Hampshire,South East,Violence with injury,15708
30/06/2008,Hampshire,South East,Violence without injury,11870
30/06/2008,Hertfordshire,East,All other theft offences,10553
30/06/2008,Hertfordshire,East,Bicycle theft,1586
30/06/2008,Hertfordshire,East,Criminal damage and arson,16632
30/06/2008,Hertfordshire,East,Death or serious injury caused by illegal driving,10
30/06/2008,Hertfordshire,East,Domestic burglary,4812
30/06/2008,Hertfordshire,East,Drug offences,3738
30/06/2008,Hertfordshire,East,Fraud offences,1908
30/06/2008,Hertfordshire,East,Homicide,8
30/06/2008,Hertfordshire,East,Miscellaneous crimes against society,1207
30/06/2008,Hertfordshire,East,Non-domestic burglary,4673
30/06/2008,Hertfordshire,East,Possession of weapons offences,523
30/06/2008,Hertfordshire,East,Public order offences,3141
30/06/2008,Hertfordshire,East,Robbery,718
30/06/2008,Hertfordshire,East,Sexual offences,746
30/06/2008,Hertfordshire,East,Shoplifting,6147
30/06/2008,Hertfordshire,East,Stalking and harassment,524
30/06/2008,Hertfordshire,East,Theft from the person,1753
30/06/2008,Hertfordshire,East,Vehicle offences,10927
30/06/2008,Hertfordshire,East,Violence with injury,5293
30/06/2008,Hertfordshire,East,Violence without injury,4042
30/06/2008,Humberside,Yorkshire and The Humber,All other theft offences,10984
30/06/2008,Humberside,Yorkshire and The Humber,Bicycle theft,2888
30/06/2008,Humberside,Yorkshire and The Humber,Criminal damage and arson,21185
30/06/2008,Humberside,Yorkshire and The Humber,Death or serious injury caused by illegal driving,10
30/06/2008,Humberside,Yorkshire and The Humber,Domestic burglary,5384
30/06/2008,Humberside,Yorkshire and The Humber,Drug offences,3105
30/06/2008,Humberside,Yorkshire and The Humber,Fraud offences,1857
30/06/2008,Humberside,Yorkshire and The Humber,Homicide,13
30/06/2008,Humberside,Yorkshire and The Humber,Miscellaneous crimes against society,996
30/06/2008,Humberside,Yorkshire and The Humber,Non-domestic burglary,7846
30/06/2008,Humberside,Yorkshire and The Humber,Possession of weapons offences,559
30/06/2008,Humberside,Yorkshire and The Humber,Public order offences,6185
30/06/2008,Humberside,Yorkshire and The Humber,Robbery,925
30/06/2008,Humberside,Yorkshire and The Humber,Sexual offences,957
30/06/2008,Humberside,Yorkshire and The Humber,Shoplifting,6958
30/06/2008,Humberside,Yorkshire and The Humber,Stalking and harassment,540
30/06/2008,Humberside,Yorkshire and The Humber,Theft from the person,918
30/06/2008,Humberside,Yorkshire and The Humber,Vehicle offences,11000
30/06/2008,Humberside,Yorkshire and The Humber,Violence with injury,8743
30/06/2008,Humberside,Yorkshire and The Humber,Violence without injury,3553
30/06/2008,Kent,South East,All other theft offences,19385
30/06/2008,Kent,South East,Bicycle theft,2036
30/06/2008,Kent,South East,Criminal damage and arson,30415
30/06/2008,Kent,South East,Death or serious injury caused by illegal driving,4
30/06/2008,Kent,South East,Domestic burglary,5815
30/06/2008,Kent,South East,Drug offences,3496
30/06/2008,Kent,South East,Fraud offences,2210
30/06/2008,Kent,South East,Homicide,14
30/06/2008,Kent,South East,Miscellaneous crimes against society,1326
30/06/2008,Kent,South East,Non-domestic burglary,7949
30/06/2008,Kent,South East,Possession of weapons offences,784
30/06/2008,Kent,South East,Public order offences,3482
30/06/2008,Kent,South East,Robbery,1095
30/06/2008,Kent,South East,Sexual offences,1567
30/06/2008,Kent,South East,Shoplifting,9590
30/06/2008,Kent,South East,Stalking and harassment,871
30/06/2008,Kent,South East,Theft from the person,1159
30/06/2008,Kent,South East,Vehicle offences,16002
30/06/2008,Kent,South East,Violence with injury,12448
30/06/2008,Kent,South East,Violence without injury,7946
30/06/2008,Lancashire,North West,All other theft offences,17737
30/06/2008,Lancashire,North West,Bicycle theft,2345
30/06/2008,Lancashire,North West,Criminal damage and arson,31769
30/06/2008,Lancashire,North West,Death or serious injury caused by illegal driving,10
30/06/2008,Lancashire,North West,Domestic burglary,4980
30/06/2008,Lancashire,North West,Drug offences,4313
30/06/2008,Lancashire,North West,Fraud offences,1234
30/06/2008,Lancashire,North West,Homicide,22
30/06/2008,Lancashire,North West,Miscellaneous crimes against society,1136
30/06/2008,Lancashire,North West,Non-domestic burglary,8297
30/06/2008,Lancashire,North West,Possession of weapons offences,983
30/06/2008,Lancashire,North West,Public order offences,4192
30/06/2008,Lancashire,North West,Robbery,931
30/06/2008,Lancashire,North West,Sexual offences,1344
30/06/2008,Lancashire,North West,Shoplifting,8435
30/06/2008,Lancashire,North West,Stalking and harassment,1060
30/06/2008,Lancashire,North West,Theft from the person,1253
30/06/2008,Lancashire,North West,Vehicle offences,13162
30/06/2008,Lancashire,North West,Violence with injury,13080
30/06/2008,Lancashire,North West,Violence without injury,6739
30/06/2008,Leicestershire,East Midlands,All other theft offences,11824
30/06/2008,Leicestershire,East Midlands,Bicycle theft,2033
30/06/2008,Leicestershire,East Midlands,Criminal damage and arson,17708
30/06/2008,Leicestershire,East Midlands,Death or serious injury caused by illegal driving,43
30/06/2008,Leicestershire,East Midlands,Domestic burglary,5108
30/06/2008,Leicestershire,East Midlands,Drug offences,3358
30/06/2008,Leicestershire,East Midlands,Fraud offences,1247
30/06/2008,Leicestershire,East Midlands,Homicide,10
30/06/2008,Leicestershire,East Midlands,Miscellaneous crimes against society,1106
30/06/2008,Leicestershire,East Midlands,Non-domestic burglary,5147
30/06/2008,Leicestershire,East Midlands,Possession of weapons offences,533
30/06/2008,Leicestershire,East Midlands,Public order offences,4020
30/06/2008,Leicestershire,East Midlands,Robbery,1026
30/06/2008,Leicestershire,East Midlands,Sexual offences,1229
30/06/2008,Leicestershire,East Midlands,Shoplifting,5042
30/06/2008,Leicestershire,East Midlands,Stalking and harassment,1937
30/06/2008,Leicestershire,East Midlands,Theft from the person,1532
30/06/2008,Leicestershire,East Midlands,Vehicle offences,10871
30/06/2008,Leicestershire,East Midlands,Violence with injury,8420
30/06/2008,Leicestershire,East Midlands,Violence without injury,4477
30/06/2008,Lincolnshire,East Midlands,All other theft offences,8108
30/06/2008,Lincolnshire,East Midlands,Bicycle theft,1652
30/06/2008,Lincolnshire,East Midlands,Criminal damage and arson,12924
30/06/2008,Lincolnshire,East Midlands,Death or serious injury caused by illegal driving,14
30/06/2008,Lincolnshire,East Midlands,Domestic burglary,2155
30/06/2008,Lincolnshire,East Midlands,Drug offences,1827
30/06/2008,Lincolnshire,East Midlands,Fraud offences,783
30/06/2008,Lincolnshire,East Midlands,Homicide,8
30/06/2008,Lincolnshire,East Midlands,Miscellaneous crimes against society,533
30/06/2008,Lincolnshire,East Midlands,Non-domestic burglary,3556
30/06/2008,Lincolnshire,East Midlands,Possession of weapons offences,412
30/06/2008,Lincolnshire,East Midlands,Public order offences,3042
30/06/2008,Lincolnshire,East Midlands,Robbery,157
30/06/2008,Lincolnshire,East Midlands,Sexual offences,620
30/06/2008,Lincolnshire,East Midlands,Shoplifting,3230
30/06/2008,Lincolnshire,East Midlands,Stalking and harassment,149
30/06/2008,Lincolnshire,East Midlands,Theft from the person,385
30/06/2008,Lincolnshire,East Midlands,Vehicle offences,4900
30/06/2008,Lincolnshire,East Midlands,Violence with injury,3742
30/06/2008,Lincolnshire,East Midlands,Violence without injury,2389
30/06/2008,Merseyside,North West,All other theft offences,12294
30/06/2008,Merseyside,North West,Bicycle theft,1711
30/06/2008,Merseyside,North West,Criminal damage and arson,29046
30/06/2008,Merseyside,North West,Death or serious injury caused by illegal driving,3
30/06/2008,Merseyside,North West,Domestic burglary,7913
30/06/2008,Merseyside,North West,Drug offences,13392
30/06/2008,Merseyside,North West,Fraud offences,1105
30/06/2008,Merseyside,North West,Homicide,33
30/06/2008,Merseyside,North West,Miscellaneous crimes against society,1041
30/06/2008,Merseyside,North West,Non-domestic burglary,7221
30/06/2008,Merseyside,North West,Possession of weapons offences,1137
30/06/2008,Merseyside,North West,Public order offences,5832
30/06/2008,Merseyside,North West,Robbery,1538
30/06/2008,Merseyside,North West,Sexual offences,898
30/06/2008,Merseyside,North West,Shoplifting,8514
30/06/2008,Merseyside,North West,Stalking and harassment,685
30/06/2008,Merseyside,North West,Theft from the person,1658
30/06/2008,Merseyside,North West,Vehicle offences,15314
30/06/2008,Merseyside,North West,Violence with injury,9086
30/06/2008,Merseyside,North West,Violence without injury,4347
30/06/2008,Metropolitan Police,London,All other theft offences,133357
30/06/2008,Metropolitan Police,London,Bicycle theft,16557
30/06/2008,Metropolitan Police,London,Criminal damage and arson,100363
30/06/2008,Metropolitan Police,London,Death or serious injury caused by illegal driving,36
30/06/2008,Metropolitan Police,London,Domestic burglary,59438
30/06/2008,Metropolitan Police,London,Drug offences,74147
30/06/2008,Metropolitan Police,London,Fraud offences,17348
30/06/2008,Metropolitan Police,London,Homicide,155
30/06/2008,Metropolitan Police,London,Miscellaneous crimes against society,10550
30/06/2008,Metropolitan Police,London,Non-domestic burglary,33385
30/06/2008,Metropolitan Police,London,Possession of weapons offences,8039
30/06/2008,Metropolitan Police,London,Public order offences,33491
30/06/2008,Metropolitan Police,London,Robbery,35015
30/06/2008,Metropolitan Police,London,Sexual offences,8612
30/06/2008,Metropolitan Police,London,Shoplifting,34897
30/06/2008,Metropolitan Police,London,Stalking and harassment,17513
30/06/2008,Metropolitan Police,London,Theft from the person,30864
30/06/2008,Metropolitan Police,London,Vehicle offences,120538
30/06/2008,Metropolitan Police,London,Violence with injury,72837
30/06/2008,Metropolitan Police,London,Violence without injury,48749
30/06/2008,Norfolk,East,All other theft offences,8642
30/06/2008,Norfolk,East,Bicycle theft,1685
30/06/2008,Norfolk,East,Criminal damage and arson,13822
30/06/2008,Norfolk,East,Death or serious injury caused by illegal driving,5
30/06/2008,Norfolk,East,Domestic burglary,1554
30/06/2008,Norfolk,East,Drug offences,2263
30/06/2008,Norfolk,East,Fraud offences,986
30/06/2008,Norfolk,East,Homicide,10
30/06/2008,Norfolk,East,Miscellaneous crimes against society,596
30/06/2008,Norfolk,East,Non-domestic burglary,3838
30/06/2008,Norfolk,East,Possession of weapons offences,411
30/06/2008,Norfolk,East,Public order offences,1934
30/06/2008,Norfolk,East,Robbery,275
30/06/2008,Norfolk,East,Sexual offences,694
30/06/2008,Norfolk,East,Shoplifting,3679
30/06/2008,Norfolk,East,Stalking and harassment,173
30/06/2008,Norfolk,East,Theft from the person,693
30/06/2008,Norfolk,East,Vehicle offences,5028
30/06/2008,Norfolk,East,Violence with injury,4328
30/06/2008,Norfolk,East,Violence without injury,3071
30/06/2008,North Wales,Wales,All other theft offences,5229
30/06/2008,North Wales,Wales,Bicycle theft,640
30/06/2008,North Wales,Wales,Criminal damage and arson,12535
30/06/2008,North Wales,Wales,Death or serious injury caused by illegal driving,6
30/06/2008,North Wales,Wales,Domestic burglary,1233
30/06/2008,North Wales,Wales,Drug offences,2501
30/06/2008,North Wales,Wales,Fraud offences,436
30/06/2008,North Wales,Wales,Homicide,10
30/06/2008,North Wales,Wales,Miscellaneous crimes against society,586
30/06/2008,North Wales,Wales,Non-domestic burglary,2822
30/06/2008,North Wales,Wales,Possession of weapons offences,402
30/06/2008,North Wales,Wales,Public order offences,3150
30/06/2008,North Wales,Wales,Robbery,135
30/06/2008,North Wales,Wales,Sexual offences,543
30/06/2008,North Wales,Wales,Shoplifting,3344
30/06/2008,North Wales,Wales,Stalking and harassment,415
30/06/2008,North Wales,Wales,Theft from the person,146
30/06/2008,North Wales,Wales,Vehicle offences,3831
30/06/2008,North Wales,Wales,Violence with injury,4142
30/06/2008,North Wales,Wales,Violence without injury,3170
30/06/2008,North Yorkshire,Yorkshire and The Humber,All other theft offences,6705
30/06/2008,North Yorkshire,Yorkshire and The Humber,Bicycle theft,1609
30/06/2008,North Yorkshire,Yorkshire and The Humber,Criminal damage and arson,10713
30/06/2008,North Yorkshire,Yorkshire and The Humber,Death or serious injury caused by illegal driving,10
30/06/2008,North Yorkshire,Yorkshire and The Humber,Domestic burglary,2480
30/06/2008,North Yorkshire,Yorkshire and The Humber,Drug offences,2013
30/06/2008,North Yorkshire,Yorkshire and The Humber,Fraud offences,711
30/06/2008,North Yorkshire,Yorkshire and The Humber,Homicide,4
30/06/2008,North Yorkshire,Yorkshire and The Humber,Miscellaneous crimes against society,547
30/06/2008,North Yorkshire,Yorkshire and The Humber,Non-domestic burglary,3672
30/06/2008,North Yorkshire,Yorkshire and The Humber,Possession of weapons offences,293
30/06/2008,North Yorkshire,Yorkshire and The Humber,Public order offences,2411
30/06/2008,North Yorkshire,Yorkshire and The Humber,Robbery,203
30/06/2008,North Yorkshire,Yorkshire and The Humber,Sexual offences,561
30/06/2008,North Yorkshire,Yorkshire and The Humber,Shoplifting,3519
30/06/2008,North Yorkshire,Yorkshire and The Humber,Stalking and harassment,263
30/06/2008,North Yorkshire,Yorkshire and The Humber,Theft from the person,723
30/06/2008,North Yorkshire,Yorkshire and The Humber,Vehicle offences,5436
30/06/2008,North Yorkshire,Yorkshire and The Humber,Violence with injury,4191
30/06/2008,North Yorkshire,Yorkshire and The Humber,Violence without injury,1857
30/06/2008,Northamptonshire,East Midlands,All other theft offences,8605
30/06/2008,Northamptonshire,East Midlands,Bicycle theft,1105
30/06/2008,Northamptonshire,East Midlands,Criminal damage and arson,14532
30/06/2008,Northamptonshire,East Midlands,Death or serious injury caused by illegal driving,12
30/06/2008,Northamptonshire,East Midlands,Domestic burglary,3726
30/06/2008,Northamptonshire,East Midlands,Drug offences,1334
30/06/2008,Northamptonshire,East Midlands,Fraud offences,1114
30/06/2008,Northamptonshire,East Midlands,Homicide,7
30/06/2008,Northamptonshire,East Midlands,Miscellaneous crimes against society,769
30/06/2008,Northamptonshire,East Midlands,Non-domestic burglary,5395
30/06/2008,Northamptonshire,East Midlands,Possession of weapons offences,374
30/06/2008,Northamptonshire,East Midlands,Public order offences,1404
30/06/2008,Northamptonshire,East Midlands,Robbery,797
30/06/2008,Northamptonshire,East Midlands,Sexual offences,567
30/06/2008,Northamptonshire,East Midlands,Shoplifting,3682
30/06/2008,Northamptonshire,East Midlands,Stalking and harassment,545
30/06/2008,Northamptonshire,East Midlands,Theft from the person,1174
30/06/2008,Northamptonshire,East Midlands,Vehicle offences,9400
30/06/2008,Northamptonshire,East Midlands,Violence with injury,5162
30/06/2008,Northamptonshire,East Midlands,Violence without injury,3155
30/06/2008,Northumbria,North East,All other theft offences,13652
30/06/2008,Northumbria,North East,Bicycle theft,2108
30/06/2008,Northumbria,North East,Criminal damage and arson,28876
30/06/2008,Northumbria,North East,Death or serious injury caused by illegal driving,5
30/06/2008,Northumbria,North East,Domestic burglary,4957
30/06/2008,Northumbria,North East,Drug offences,4548
30/06/2008,Northumbria,North East,Fraud offences,1338
30/06/2008,Northumbria,North East,Homicide,26
30/06/2008,Northumbria,North East,Miscellaneous crimes against society,1611
30/06/2008,Northumbria,North East,Non-domestic burglary,6328
30/06/2008,Northumbria,North East,Possession of weapons offences,1287
30/06/2008,Northumbria,North East,Public order offences,4805
